date,Location,MinTemp,MaxTemp,Rainfall,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,RainToday,RainTomorrow
31-10-2016,krishnankovil,12.5,28.8,0,7,11,46,17,1017.2,1013.5,0,0
01-11-2016,krishnankovil,18,32,0,4,13,44,22,1012.4,1007.5,0,0
02-11-2016,krishnankovil,16.2,34,0,4,22,53,16,1007.8,1004.5,0,0
03-11-2016,krishnankovil,18.7,29.1,0,7,17,45,39,1010.1,1010.8,0,0
04-11-2016,krishnankovil,13.7,31.7,0,2,9,63,19,1012.5,1010.4,0,0
05-11-2016,krishnankovil,15.5,33.2,0,11,15,49,23,1015.6,1012.4,0,0
06-11-2016,krishnankovil,14.3,34,0,6,22,48,10,1013,1009.2,0,0
07-11-2016,krishnankovil,12.9,29.6,0,7,24,54,14,1014,1012.7,0,0
08-11-2016,krishnankovil,8.9,31.9,0,0,17,49,16,1016.6,1013.4,0,0
09-11-2016,krishnankovil,15,32.7,0,15,2,43,19,1017.8,1015,0,0
10-11-2016,krishnankovil,15.4,32.6,0,0,6,53,25,1016.2,1012.6,0,0
11-11-2016,krishnankovil,16,34.5,0,6,27,44,14,1007.5,1004.6,0,0
12-11-2016,krishnankovil,12.8,30.3,0,4,13,53,27,1010.5,1008.7,0,0
13-11-2016,krishnankovil,13.2,31.9,0,6,9,53,25,1014.1,1011.6,0,0
14-11-2016,krishnankovil,18,31.1,0,15,26,58,35,1014.7,1009,0,0
15-11-2016,krishnankovil,13.8,22.1,0.2,26,33,57,26,1014.5,1013.1,0,0
16-11-2016,krishnankovil,11.5,22,0,19,33,60,33,1013.7,1011.8,0,0
17-11-2016,krishnankovil,7.6,24,0,0,13,52,23,1014.5,1012,0,0
18-11-2016,krishnankovil,8.3,27.9,0,4,20,58,22,1015.2,1012.4,0,0
19-11-2016,krishnankovil,11,30.2,0,7,11,54,20,1017,1014.7,0,0
20-11-2016,krishnankovil,13.8,31.8,0,6,17,49,28,1019.7,1015.9,0,0
21-11-2016,krishnankovil,15.5,32,0,2,4,51,25,1019.5,1016.2,0,0
22-11-2016,krishnankovil,18.4,30.5,1.2,15,19,57,23,1021.3,1018,1,1
23-11-2016,krishnankovil,20.9,25.7,0,11,9,52,90,1019.5,1018.9,0,0
24-11-2016,krishnankovil,17.1,25.8,5.8,0,13,82,68,1017.4,1014.7,1,1
25-11-2016,krishnankovil,16.4,27,3,9,22,82,74,1012.7,1008,1,1
26-11-2016,krishnankovil,10,19.7,11.6,11,17,62,41,1013.4,1012,1,1
27-11-2016,krishnankovil,8.8,21.9,0,2,20,78,34,1013.3,1011.6,0,0
28-11-2016,krishnankovil,8.4,25.3,0,9,17,78,34,1015.6,1013.2,0,0
29-11-2016,krishnankovil,9.3,28,0,6,11,76,19,1017.4,1013.9,0,0
30-11-2016,krishnankovil,11.3,30.1,0,6,7,56,15,1016.3,1013.6,0,0
01-12-2016,krishnankovil,11.5,33.5,0,7,7,50,13,1016.5,1013.6,0,0
02-12-2016,krishnankovil,13.8,33.6,0,0,11,47,17,1017,1013.1,0,0
03-12-2016,krishnankovil,14.6,30,0,4,19,56,30,1014.8,1012.7,0,0
04-12-2016,krishnankovil,14.4,31.6,0,0,24,63,25,1013.7,1011.8,0,0
05-12-2016,krishnankovil,10.8,31.9,0,6,20,62,20,1016.5,1014.4,0,0
06-12-2016,krishnankovil,15.4,22.3,0.4,11,9,69,78,1017.4,1019.2,0,0
07-12-2016,krishnankovil,13.3,29.8,1.8,0,20,87,26,1019.1,1017.2,1,1
08-12-2016,krishnankovil,10.1,27.6,0,0,11,63,30,1023,1020.7,0,0
09-12-2016,krishnankovil,9.1,28.9,0,2,17,60,26,1023.8,1020.6,0,0
10-12-2016,krishnankovil,10.4,31.2,0,0,6,60,18,1022.4,1019.1,0,0
11-12-2016,krishnankovil,13.4,30.4,0,0,9,57,16,1023,1019.5,0,0
12-12-2016,krishnankovil,12.3,29.9,0,2,13,61,25,1023.2,1019.5,0,0
13-12-2016,krishnankovil,12.2,30.6,0,0,6,59,22,1022.6,1019.4,0,0
14-12-2016,krishnankovil,14.3,32.1,0,0,11,59,30,1022.6,1018.4,0,0
15-12-2016,krishnankovil,18.4,28.1,8.6,7,17,92,49,1018.8,1012.9,1,1
16-12-2016,krishnankovil,10.7,21.4,12.6,0,13,60,33,1019.8,1019.3,1,1
17-12-2016,krishnankovil,7.8,21.7,0,6,19,72,37,1020.4,1016.5,0,0
18-12-2016,krishnankovil,8.1,21.4,0,13,19,58,20,1021.8,1019.6,0,0
19-12-2016,krishnankovil,7.5,22.5,0,7,7,55,27,1026.7,1023.5,0,0
20-12-2016,krishnankovil,8.2,24,0,7,13,60,30,1027.1,1023.4,0,0
21-12-2016,krishnankovil,8.1,25.7,0,9,13,67,27,1024.2,1019.6,0,0
22-12-2016,krishnankovil,11.6,26.7,0,6,11,59,42,1021.5,1017.7,0,0
23-12-2016,krishnankovil,13,24.9,8.4,6,11,75,47,1024.4,1020.3,1,1
24-12-2016,krishnankovil,13.5,24.2,6.2,0,6,88,52,1024.1,1020.8,1,1
25-12-2016,krishnankovil,9.9,25.4,0,4,7,65,35,1023,1018.7,0,0
26-12-2016,krishnankovil,12.2,25,0,0,15,68,39,1016.3,1011.6,0,0
27-12-2016,krishnankovil,10.7,21.9,0,26,31,44,27,1008.2,1009.8,0,0
28-12-2016,krishnankovil,3.5,20,0,0,13,65,30,1016.3,1012.8,0,0
29-12-2016,krishnankovil,6.6,21.6,0,6,11,59,39,1018.5,1016.8,0,0
30-12-2016,krishnankovil,7,23.4,0,2,17,73,37,1022.8,1019.3,0,0
31-12-2016,krishnankovil,11.2,23.9,0,13,15,54,33,1022.7,1019.6,0,0
01-01-2017,krishnankovil,7.4,22,0,2,7,58,29,1023.6,1020,0,0
02-01-2017,krishnankovil,5.7,21.4,0,6,7,68,39,1025.2,1020.9,0,0
03-01-2017,krishnankovil,6.2,22.7,0,0,7,73,33,1026,1021.6,0,0
04-01-2017,krishnankovil,6,22.9,0,0,20,68,34,1021.3,1015.7,0,0
05-01-2017,krishnankovil,10.6,16.2,0,7,4,74,86,1008.9,1002.4,0,0
06-01-2017,krishnankovil,12.9,15.8,20,19,15,83,89,1004.8,1000.9,1,1
07-01-2017,krishnankovil,8.6,12.9,21,26,31,77,62,1004,1003.3,1,1
08-01-2017,krishnankovil,4.5,11.5,3.2,9,13,82,79,1013.8,1013.5,1,1
09-01-2017,krishnankovil,7.6,14.5,4.8,15,20,83,48,1018,1018.3,1,1
10-01-2017,krishnankovil,5.4,12.2,0,9,7,62,46,1023.1,1020.9,0,0
11-01-2017,krishnankovil,2.1,16.5,0,0,7,70,38,1023.4,1021.5,0,0
12-01-2017,krishnankovil,1.8,17,0,0,7,77,44,1026,1023.2,0,0
13-01-2017,krishnankovil,7.2,19.2,0,7,6,81,49,1026.9,1024,0,0
14-01-2017,krishnankovil,4.6,18.9,0,4,7,75,51,1028.7,1025.9,0,0
15-01-2017,krishnankovil,4.2,19.1,0,6,13,86,44,1029.8,1027.3,0,0
16-01-2017,krishnankovil,5.2,18.8,0,0,7,71,47,1031.4,1028.1,0,0
17-01-2017,krishnankovil,4.1,19.3,0,6,7,82,49,1028.5,1024.6,0,0
18-01-2017,krishnankovil,3.2,18.4,0,6,11,86,49,1026.2,1023.6,0,0
19-01-2017,krishnankovil,4.3,19,0,0,9,68,36,1028.8,1025.8,0,0
20-01-2017,krishnankovil,3.7,20.5,0,0,7,78,45,1026,1021.8,0,0
21-01-2017,krishnankovil,5.4,19.5,0,0,7,69,40,1025.1,1022.3,0,0
22-01-2017,krishnankovil,4.3,17.7,0,6,7,89,53,1025.6,1022.2,0,0
23-01-2017,krishnankovil,3.6,18.5,0,4,17,81,49,1022.3,1018.5,0,0
24-01-2017,krishnankovil,3.6,15.1,0,4,17,86,61,1018.4,1015.7,0,0
25-01-2017,krishnankovil,6.9,16.3,0,17,19,77,59,1015.3,1013.1,0,0
26-01-2017,krishnankovil,10.3,16.6,0,13,19,82,63,1015,1011,0,0
27-01-2017,krishnankovil,12.4,16.4,1.8,22,24,82,54,1011.8,1013.4,1,1
28-01-2017,krishnankovil,3,15.6,0,6,9,83,61,1022.5,1019.3,0,0
29-01-2017,krishnankovil,2.6,19.7,0,0,4,82,34,1024.7,1021.2,0,0
30-01-2017,krishnankovil,3.7,19.1,0,0,11,87,51,1023.6,1019.9,0,0
31-01-2017,krishnankovil,5.1,18.6,0,2,9,75,57,1022.8,1020.5,0,0
01-02-2017,krishnankovil,4.4,19.8,0,0,7,81,48,1025.2,1022.3,0,0
02-02-2017,krishnankovil,4.7,19.8,0,4,19,75,43,1025.2,1021.4,0,0
03-02-2017,krishnankovil,6.2,22.9,0,6,9,71,37,1022.2,1019.4,0,0
04-02-2017,krishnankovil,6.7,21.1,0,0,11,69,43,1025,1022.1,0,0
05-02-2017,krishnankovil,9.3,20.3,0,9,22,77,50,1024.6,1019.7,0,0
06-02-2017,krishnankovil,11.6,18.1,4.2,2,6,97,74,1021.4,1019.2,1,1
07-02-2017,krishnankovil,8,16.2,0.8,0,11,99,58,1021.7,1019.3,0,0
08-02-2017,krishnankovil,2.6,15.7,0,0,2,91,48,1023.4,1021.6,0,0
09-02-2017,krishnankovil,2.2,16.5,0,0,19,67,44,1025.6,1024,0,0
10-02-2017,krishnankovil,2.2,16.8,0,0,15,65,44,1030.3,1028.5,0,0
11-02-2017,krishnankovil,1.7,17.1,0,0,9,73,46,1034.1,1029.9,0,0
12-02-2017,krishnankovil,8,14.3,1.2,0,0,88,75,1031.9,1029.2,1,1
13-02-2017,krishnankovil,8.4,13.4,1.4,0,7,78,75,1029.3,1026.2,1,1
14-02-2017,krishnankovil,10.6,14.3,4.8,6,9,85,97,1023.5,1020.4,1,1
15-02-2017,krishnankovil,8.9,17.4,8,2,4,99,58,1021,1017.5,1,1
16-02-2017,krishnankovil,2.8,16.1,0,4,11,86,57,1017.9,1015.1,0,0
17-02-2017,krishnankovil,1.7,10.5,0.2,4,0,99,91,1015.2,1011.1,0,0
18-02-2017,krishnankovil,4.7,11.6,14.4,6,17,93,80,1007.5,1006.3,1,1
19-02-2017,krishnankovil,9,12,4.6,9,26,88,79,1009.6,1008.7,1,1
20-02-2017,krishnankovil,6.3,8.8,2,13,13,92,95,1011.1,1008.3,1,1
21-02-2017,krishnankovil,3,10.5,5.6,15,22,77,56,1017.6,1018.4,1,1
22-02-2017,krishnankovil,-2,9.6,0,0,6,84,72,1025.1,1023,0,0
23-02-2017,krishnankovil,-1.3,8.2,0,6,6,99,72,1025.7,1022.2,0,0
24-02-2017,krishnankovil,1.8,12.4,0,4,15,86,60,1018.3,1013,0,0
25-02-2017,krishnankovil,2,15.8,0,0,11,82,49,1011.8,1009.3,0,0
26-02-2017,krishnankovil,0.5,14.9,0.4,2,0,99,63,1013.9,1012.8,0,0
27-02-2017,krishnankovil,1.2,17.7,0,0,6,83,49,1022.3,1022.2,0,0
28-02-2017,krishnankovil,0.6,15.9,0,0,2,94,52,1029.7,1027.7,0,0
01-03-2017,krishnankovil,0.5,14.7,0,6,0,99,63,1031.6,1028.6,0,0
02-03-2017,krishnankovil,0.5,15.3,0,6,6,93,56,1030.8,1027.1,0,0
03-03-2017,krishnankovil,0.9,17.3,0,4,17,85,56,1025.7,1020.6,0,0
04-03-2017,krishnankovil,7,17,1.6,4,20,99,71,1021.9,1018.6,1,1
05-03-2017,krishnankovil,5,14.9,5.6,4,6,99,78,1020.7,1018.6,1,1
06-03-2017,krishnankovil,3.9,15.5,0,11,7,99,70,1020.2,1016.4,0,0
07-03-2017,krishnankovil,7.7,14.1,6,7,9,81,65,1014.9,1012.7,1,1
08-03-2017,krishnankovil,4.7,12.2,0,2,13,99,75,1015.5,1012.7,0,0
09-03-2017,krishnankovil,6.9,13.7,4.4,7,9,99,73,1011.6,1008.1,1,1
10-03-2017,krishnankovil,8.4,11.9,0,7,6,79,81,1007.8,1005.5,0,0
11-03-2017,krishnankovil,9.3,12.3,5.4,9,11,98,76,1007.5,1006.6,1,1
12-03-2017,krishnankovil,8.2,15.7,3.6,9,15,91,69,1011.4,1009.4,1,1
13-03-2017,krishnankovil,9.1,16.1,2,11,19,78,73,1007.6,1001,1,1
14-03-2017,krishnankovil,8.3,13.3,8.4,20,22,85,68,1006.5,1005.2,1,1
15-03-2017,krishnankovil,8.8,11.6,5,19,19,88,74,1009.4,1006.8,1,1
16-03-2017,krishnankovil,7.6,12,7.8,17,22,82,62,1008.6,1009.6,1,1
17-03-2017,krishnankovil,5.7,13.2,0,15,24,91,76,1016.3,1014.9,0,0
18-03-2017,krishnankovil,3.4,12.4,0,9,15,80,56,1019.9,1019,0,0
19-03-2017,krishnankovil,0,12.1,0,7,7,99,65,1022.4,1020.4,0,0
20-03-2017,krishnankovil,-1.5,12.5,0,0,7,91,46,1026,1024.6,0,0
21-03-2017,krishnankovil,-1.7,13.8,0,0,7,84,54,1030.4,1028.1,0,0
22-03-2017,krishnankovil,-0.4,15,0.2,0,7,84,54,1032,1028.6,0,0
23-03-2017,krishnankovil,0.1,13.5,0,0,9,93,62,1028.7,1023.8,0,0
24-03-2017,krishnankovil,4.8,13.3,0.6,0,13,96,63,1020.5,1015.6,0,0
25-03-2017,krishnankovil,8.1,16.5,0.6,7,19,77,53,1010.4,1007.7,0,0
26-03-2017,krishnankovil,5.9,13.1,1,13,11,82,73,1007.6,1005.5,0,0
27-03-2017,krishnankovil,6.9,11,6.8,9,9,94,75,1006.6,1005.8,1,1
28-03-2017,krishnankovil,2.9,12.6,1.8,4,0,99,57,1010.5,1009.9,1,1
29-03-2017,krishnankovil,-0.6,13.4,0,0,9,95,57,1015.6,1014.5,0,0
30-03-2017,krishnankovil,-0.3,14.4,0.2,4,6,88,52,1022.4,1020.6,0,0
31-03-2017,krishnankovil,-1,12,0,0,11,98,64,1023,1019.5,0,0
01-04-2017,krishnankovil,3.2,14.1,0.6,7,11,94,65,1021.6,1019.8,0,0
02-04-2017,krishnankovil,3.6,16.5,0.2,0,19,95,53,1023.1,1018.4,0,0
03-04-2017,krishnankovil,0.8,17.7,0,4,17,87,46,1019.7,1013.4,0,0
04-04-2017,krishnankovil,6.6,12.3,0,7,20,74,81,1009.5,1006.2,0,0
05-04-2017,krishnankovil,6,13.5,9.8,13,17,83,58,1015.1,1018.4,1,1
06-04-2017,krishnankovil,-0.1,12.9,0,0,15,87,58,1027.3,1025.4,0,0
07-04-2017,krishnankovil,-0.3,12.2,0,0,9,95,61,1026.8,1022.7,0,0
08-04-2017,krishnankovil,2.1,9.8,0,0,2,85,74,1018,1013.7,0,0
09-04-2017,krishnankovil,1.3,8.8,0,6,9,99,91,1019.9,1019.9,0,0
10-04-2017,krishnankovil,4.2,12.7,3.8,11,11,89,71,1024,1023.1,1,1
11-04-2017,krishnankovil,8.3,13.2,2.4,11,9,98,81,1026,1025.4,1,1
12-04-2017,krishnankovil,3.3,12.1,0.2,0,9,99,76,1025.8,1022.7,0,0
13-04-2017,krishnankovil,6.5,14.5,5.2,19,22,81,61,1021.3,1021.5,1,1
14-04-2017,krishnankovil,7.4,13.9,0.2,0,15,99,70,1026.8,1025.3,0,0
15-04-2017,krishnankovil,7.5,14.1,0.8,2,17,94,65,1027.9,1024.8,0,0
16-04-2017,krishnankovil,8.3,13.8,0.8,20,15,79,49,1023.1,1022.9,0,0
17-04-2017,krishnankovil,3.2,14.7,0,0,4,91,53,1021.7,1018.9,0,0
18-04-2017,krishnankovil,5.7,13.8,5.4,7,7,98,76,1022.2,1020.2,1,1
19-04-2017,krishnankovil,5.1,17.1,0.4,0,19,99,58,1021.9,1016.7,0,0
20-04-2017,krishnankovil,8,13.9,0.8,35,33,79,47,1012.8,1015.6,0,0
21-04-2017,krishnankovil,-0.8,12.9,4.2,6,6,78,50,1026.4,1023,1,1
22-04-2017,krishnankovil,-1,12.2,0,2,7,91,48,1021.6,1018.5,0,0
23-04-2017,krishnankovil,1.9,14.8,0.2,4,11,72,60,1018.6,1014.7,0,0
24-04-2017,krishnankovil,5.9,17.7,0.4,19,22,62,59,1009,1008.6,0,0
25-04-2017,krishnankovil,6.9,14.3,4.8,6,13,99,74,1011.5,1010,1,1
26-04-2017,krishnankovil,7.7,11.6,0.2,6,13,94,87,1015.7,1015.3,0,0
27-04-2017,krishnankovil,6.8,15.2,1.2,0,13,99,61,1021.1,1019.1,1,1
28-04-2017,krishnankovil,2.7,17.5,0.2,7,13,99,57,1021.2,1016.8,0,0
29-04-2017,krishnankovil,5.1,15.5,1.6,11,11,79,70,1012.2,1006.4,1,1
30-04-2017,krishnankovil,4.2,13.6,3.2,20,19,73,57,1018.2,1019.7,1,1
01-05-2017,krishnankovil,0.6,15.6,0,0,6,85,58,1029.8,1027.2,0,0
02-05-2017,krishnankovil,1.6,16.4,0,7,7,99,61,1027.7,1022.5,0,0
03-05-2017,krishnankovil,5.5,18.4,0,6,13,78,51,1019.7,1014.3,0,0
04-05-2017,krishnankovil,7.3,14.8,1,26,30,72,85,1004,1001.7,0,0
05-05-2017,krishnankovil,0.2,14.1,6.6,9,13,90,57,1012,1009.6,1,1
06-05-2017,krishnankovil,5.8,18.9,3.8,7,11,94,67,1011.5,1007.1,1,1
07-05-2017,krishnankovil,8.9,17.1,1.2,26,22,68,52,1004.1,1001,1,1
08-05-2017,krishnankovil,7.1,12.8,2,15,20,75,53,1009.6,1008.2,1,1
09-05-2017,krishnankovil,4.2,14.4,3.6,13,30,83,56,1016.1,1014.4,1,1
10-05-2017,krishnankovil,1.1,16.7,0.4,11,19,72,49,1018.5,1014.6,0,0
11-05-2017,krishnankovil,1.1,18.6,0,7,11,87,51,1016.9,1013.3,0,0
12-05-2017,krishnankovil,7.2,17.9,4.2,20,19,81,80,1002.6,996.9,1,1
13-05-2017,krishnankovil,6.3,11.1,13.4,26,20,77,57,1014.2,1015.2,1,1
14-05-2017,krishnankovil,6.7,14.2,1.4,19,22,90,72,1018.9,1016.8,1,1
15-05-2017,krishnankovil,5.1,14.2,3,7,15,96,58,1023.2,1021.7,1,1
16-05-2017,krishnankovil,1,16.8,0,9,9,82,45,1024.9,1020.2,0,0
17-05-2017,krishnankovil,6.1,20.7,0,4,24,80,54,1016.6,1010.8,0,0
18-05-2017,krishnankovil,6.3,16.9,1.4,6,13,85,58,1014.4,1012.3,1,1
19-05-2017,krishnankovil,2.1,15,0,4,11,81,54,1019.5,1017.9,0,0
20-05-2017,krishnankovil,1.6,16.6,0,9,20,79,47,1018.4,1011.4,0,0
21-05-2017,krishnankovil,8.3,17.6,0,9,30,73,53,1005,1002.7,0,0
22-05-2017,krishnankovil,5.7,16.5,0,7,30,90,59,1009.9,1009,0,0
23-05-2017,krishnankovil,7.5,14.3,0,17,22,82,67,1012.8,1011.3,0,0
24-05-2017,krishnankovil,2.6,27,0,6,13,71,55,1017.8,1017.6,0,0
25-05-2017,krishnankovil,27,18.8,27,7,19,83,46,1022.2,1018.2,0,0
26-05-2017,krishnankovil,6.5,24.7,0,6,22,70,39,1020,1015.4,0,0
27-05-2017,krishnankovil,13.2,25.1,0,9,11,44,25,1017,1012.2,0,0
28-05-2017,krishnankovil,4.3,17.8,0,2,6,60,29,1022.6,1019.9,0,0
29-05-2017,krishnankovil,1.6,17.2,0,6,7,68,44,1022.5,1019.1,0,0
30-05-2017,krishnankovil,2.8,21.1,0,7,9,74,39,1022.2,1016.8,0,0
31-05-2017,krishnankovil,6.3,19,0,6,2,76,73,1013.8,1011.9,0,0
01-06-2017,krishnankovil,7.4,20.4,10.2,0,0,75,54,1021.2,1018.6,1,1
02-06-2017,krishnankovil,5.4,20.6,0,6,11,98,46,1018.8,1015,0,0
03-06-2017,krishnankovil,8,18.9,0.4,0,20,79,50,1014.6,1013.7,0,0
04-06-2017,krishnankovil,3.7,19,0.2,9,15,73,50,1014.5,1008.2,0,0
05-06-2017,krishnankovil,11.5,20.2,8.4,17,13,77,55,1002.6,999.2,1,1
06-06-2017,krishnankovil,9.3,16.8,28.8,26,30,82,54,997.8,1003.8,1,1
07-06-2017,krishnankovil,8.2,18.2,1.4,9,24,72,55,1015.1,1011.8,1,1
08-06-2017,krishnankovil,5.3,20.6,0,22,13,60,57,1009.3,1002.9,0,0
09-06-2017,krishnankovil,6.8,12.2,6,37,24,79,72,1005.2,1003.9,1,1
10-06-2017,krishnankovil,4.5,12.9,1.6,35,37,78,72,1009.8,1008.4,1,1
